# https://en.wikipedia.org/wiki/CJK_Strokes_(Unicode_block)
# ㇀ duplicate
# ㇁duplicate
㇂
㇃
# ㇄ duplicate
㇅
㇆
㇇
㇈
㇉
㇊
㇋
㇌
㇍
㇎
㇏
㇐
㇑
㇒
㇓
㇔
㇕
㇖
㇗
㇘
㇙
㇚
㇛
㇜
㇝
㇞
㇟
㇠
㇡
㇢
㇣
# Added strokes
乁
